x1;x2;x3;x4;x5;x6;x7;y
7.2;8.37;8.76;8.89;31370001;298.76;161260000;27.75391619
7.25;8.32;8.71;8.85;29600000;305.74;204110000;26.41865637
7.25;8.25;8.62;8.75;27860001;312.48;221480000;25.7983871
7.23;8.25;8.63;8.76;27270000;314.76;152650000;25.9459906
7.21;8.25;8.65;8.79;27570000;312.36;146300000;25.76309387
7.22;8.26;8.66;8.79;28280001;312.6;149290000;23.8918746
7.18;8.21;8.62;8.74;29040001;310.17;141460000;25.17464616
7.13;8.23;8.63;8.76;30750000;304.71;130190000;28.96347347
7.15;8.27;8.7;8.84;31540001;301.88;133980000;31.83013118
7.14;8.28;8.7;8.83;30520000;304.06;153450000;31.37393935
7.11;8.24;8.65;8.78;30040001;304;156060000;30.28289474
7.05;8.15;8.57;8.7;30250000;307.02;159270000;29.28968797
7.08;8.16;8.57;8.7;30030001;311.85;168700000;28.40179574
7.08;8.1;8.5;8.63;29850000;314.59;147510000;26.22886932
7.08;8.11;8.52;8.64;29110001;311.62;142660000;27.41518516
7.09;8.16;8.57;8.71;30870001;306.01;149130000;28.97049116
7.09;8.18;8.58;8.73;30790001;307.61;155570000;28.89327395
7.05;8.1;8.49;8.63;26959999;313.74;145160000;27.38968573
7.04;8.01;8.37;8.52;25600000;319.48;161390000;25.52109678
7.07;8.01;8.36;8.51;22889999;320.4;179310000;24.75780275
7.09;8.01;8.37;8.53;22570000;317.02;151370000;27.64027506
7.08;7.96;8.3;8.46;21340000;317.12;165440000;28.20105954
7.1;8.01;8.35;8.51;20950001;319.34;140950000;28.1951525
7.09;7.98;8.31;8.47;20090000;315.31;161170000;30.63353525
7.04;7.92;8.27;8.44;21090000;316.03;140660000;30.12619055
7.03;7.92;8.28;8.44;20980000;315.1;63350000;30.01459854
7.03;7.92;8.27;8.42;22760000;316.51;131540000;29.9114088
7.04;7.94;8.28;8.44;22860001;318.1;147590000;28.62181704
7.06;7.94;8.3;8.46;22959999;317.95;145490000;29.8496619
7.03;7.96;8.32;8.47;23910000;316.42;140920000;30.08318058
7.02;7.91;8.26;8.4;22160000;322.22;192350000;27.42759605
7.05;7.88;8.22;8.36;22290001;324.1;177000000;26.59240975
7.01;7.83;8.2;8.37;22030001;326.35;185820000;27.13375211
7;7.82;8.16;8.32;20940001;329.92;205820000;26.08486906
7;7.82;8.18;8.35;22620001;329.07;256380000;26.31908105
6.89;7.67;8.03;8.19;22590000;327.75;164950000;27.22044241
6.86;7.63;7.98;8.14;23580000;328.89;138650000;26.30709356
6.84;7.6;7.94;8.1;23750000;326.44;145330000;27.35093739
6.79;7.59;7.91;8.07;21280001;330.19;182270000;25.42457373
6.83;7.68;7.98;8.14;23049999;329.34;162110000;25.8117447
6.85;7.74;8.05;8.2;23850000;326.82;151010000;27.04032801
6.81;7.71;8.02;8.18;24850000;326.02;118560000;26.13189375
6.73;7.67;7.99;8.15;23110001;330.05;176460000;23.53370701
6.62;7.64;8;8.19;23080000;330.2;180380000;23.21380981
6.55;7.67;8.05;8.22;23129999;330.12;174700000;21.55313219
6.59;7.75;8.11;8.28;22660000;331.75;233400000;20.92087415
6.53;7.84;8.2;8.36;24030001;329.9;57200000;20.41952107
6.48;7.78;8.15;8.3;24180000;330.85;78730000;21.06725102
6.47;7.75;8.11;8.25;24809999;328.29;102900000;22.02180999
6.45;7.78;8.14;8.31;25049999;328.72;111030000;21.06266732
6.44;7.68;8.08;8.26;26379999;330.22;114130000;21.0063594
6.46;7.59;7.97;8.14;26620001;326.45;126280000;22.85097258
6.44;7.56;7.93;8.11;27930000;321.91;141450000;27.88251375
6.53;7.65;8.02;8.2;27190001;321;140820000;29.49844237
6.51;7.75;8.13;8.32;28950001;315.44;130610000;30.95181334
6.44;7.74;8.16;8.37;30379999;314.9;143390000;30.86186091
6.25;7.81;8.25;8.46;33299999;311.49;191100000;33.47696555
6.21;7.76;8.16;8.37;31330000;314.53;124510000;32.84831336
6.16;7.79;8.2;8.39;32630001;315.23;123050000;32.59835676
6.05;7.82;8.23;8.41;36200001;312.49;120830000;33.47223911
6.05;7.79;8.22;8.41;36160000;313.73;110000000;34.66350046
6.04;7.83;8.24;8.4;33200001;316.17;134560000;34.78008666
6.12;7.71;8.05;8.18;27450001;327.97;319080000;30.59798152
6.07;7.68;8.03;8.17;25389999;332.23;226770000;30.84905036
6.05;7.7;8.07;8.23;24330000;331.06;136290000;32.101613
6.14;7.67;8.04;8.21;23920000;330.21;168620000;34.43705521
6.13;7.61;8;8.18;22860001;334.78;223150000;32.49381683
6.17;7.67;8.06;8.24;22200001;336.07;194350000;32.92712828
6.25;7.67;8.06;8.23;23049999;336.03;141270000;35.68663512
6.22;7.64;8.05;8.2;23170000;335.84;155740000;34.83158647
6.2;7.64;8.05;8.23;21370001;340.91;226790000;34.24557801
6.19;7.62;8.03;8.21;20910000;343.93;204520000;31.89945628
6;7.45;7.91;8.09;21040001;343.05;246670000;33.58198513
5.98;7.43;7.88;8.05;21860001;348.34;250750000;32.04294655
5.97;7.4;7.85;8.02;21459999;351.26;290570000;29.95148893
5.91;7.4;7.79;8.02;22680000;358.07;276940000;27.92699751
5.94;7.42;7.82;8.01;23600000;356.52;292190000;28.56086615
5.92;7.4;7.77;7.95;23379999;359.35;187830000;28.2011966
5.88;7.39;7.78;7.97;22559999;368.58;265350000;24.43453253
5.85;7.39;7.78;7.96;22260000;365.5;256160000;26.6128591
5.86;7.39;7.78;7.97;20860001;369.02;209960000;25.47157336
5.85;7.38;7.8;7.99;21480000;364.22;230750000;27.71599583
5.91;7.41;7.78;7.97;19570000;369.06;228480000;26.07315884
5.96;7.46;7.8;7.99;19840000;369.39;189900000;27.98435258
5.94;7.49;7.84;8.02;22260000;365.14;185680000;29.02075916
5.92;7.51;7.88;8.04;20780001;364.97;180770000;28.99750664
5.95;7.57;7.91;8.07;21010000;365.65;218760000;28.54341583
5.99;7.57;7.91;8.05;22860001;367.26;193820000;27.55203398
6.04;7.62;7.96;8.14;20379999;362.81;164170000;27.99002233
6.03;7.64;7.98;8.15;21260000;367.74;211410000;27.85729048
6.04;7.66;8.02;8.19;21230000;367.07;223010000;27.75170948
6.09;7.78;8.12;8.28;21230000;370.47;221510000;26.84217346
6.06;7.77;8.12;8.29;20860001;369.33;199830000;26.75271437
6.05;7.73;8.08;8.25;20450001;376.72;253700000;23.31100021
6.08;7.77;8.11;8.29;20549999;376.17;262290000;23.80684265
6.07;7.73;8.07;8.23;21049999;375.91;197060000;23.51802293
5.97;7.77;8.13;8.3;20809999;374.95;206850000;24.00773436
5.89;7.71;8.06;8.23;20879999;372.96;161600000;25.16076791
5.86;7.74;8.09;8.26;18820000;370.03;176440000;27.69445721
5.83;7.67;8.02;8.2;16090000;374.57;176000000;26.20823878
5.76;7.64;8.02;8.2;14940000;373.5;232070000;26.4605087
5.8;7.73;8.1;8.3;14900000;373.59;237650000;25.38702856
5.84;7.79;8.15;8.34;15790000;372.11;163100000;27.98597189
5.89;7.93;8.25;8.42;16110001;366.59;177070000;29.36888622
5.88;7.88;8.2;8.37;16040001;367.92;196810000;29.22080887
5.87;7.82;8.16;8.34;16860001;366.58;199830000;28.39511157
5.87;7.82;8.13;8.33;16490000;367.48;160890000;29.04234244
5.88;7.83;8.13;8.32;16760000;369.83;153920000;27.00857151
5.86;7.84;8.13;8.31;16309999;376.3;198720000;25.16290194
5.81;7.76;8.08;8.26;16549999;375.35;201830000;26.60743306
5.74;7.73;8.05;8.24;16879999;375.22;150750000;27.38052343
5.76;7.74;8.07;8.25;17420000;371.3;144010000;28.66361433
5.77;7.68;8.03;8.22;17400000;379.5;189530000;28.13965744
5.77;7.71;8.05;8.24;17610001;378.94;213720000;29.03742017
5.74;7.67;8;8.19;18010000;379.77;198120000;28.28822708
5.71;7.65;7.99;8.18;17629999;375.36;187410000;28.35507246
5.65;7.63;7.98;8.16;17410000;378.66;138580000;26.60476417
5.61;7.68;8.03;8.2;20120001;373.56;169940000;28.19509583
5.61;7.75;8.1;8.27;19730000;373.15;167940000;28.57537183
5.57;7.74;8.09;8.27;17240000;377.63;196570000;26.42899134
5.51;7.64;7.98;8.16;18450001;380.4;198610000;25.63722397
5.59;7.64;7.95;8.12;16500000;381.19;161800000;24.02460715
5.61;7.66;7.97;8.13;15820000;387.62;214480000;22.83194882
5.56;7.64;7.95;8.11;15470000;390.45;246930000;23.39787425
5.66;7.74;8.02;8.18;16260000;388.46;217410000;23.95603151
5.75;7.8;8.1;8.24;15680000;384.2;195520000;25.11504425
5.69;7.83;8.15;8.3;16780001;380.95;164410000;25.77162357
5.71;7.78;8.12;8.28;17020000;381.76;167840000;24.83696563
5.66;7.73;8.06;8.22;16719999;382.76;166800000;24.88964364
5.61;7.7;8.07;8.24;17150000;379.25;166940000;27.05471325
5.62;7.68;8.06;8.22;17270000;379.02;154550000;25.13461031
5.59;7.7;8.07;8.23;18270000;373.66;149860000;26.82963122
5.51;7.63;8.02;8.2;18240000;375.34;206230000;25.0088986
5.54;7.63;8.01;8.18;17770000;380.29;181900000;22.91814142
5.46;7.59;7.97;8.14;17520000;380.52;187090000;23.81089036
5.47;7.67;8.04;8.22;17240000;380.8;158150000;23.7914916
5.46;7.67;8.05;8.23;17920000;380.08;129110000;23.94780046
5.5;7.67;8.06;8.24;17459999;377.32;153290000;25.47789675
5.5;7.68;8.04;8.24;17780001;378.51;157240000;25.38707035
5.48;7.68;8.02;8.21;17170000;383.25;180460000;23.83692107
5.48;7.76;8.12;8.33;17540001;375.74;172730000;26.46574759
5.47;7.72;8.07;8.27;17660000;376.76;129620000;27.37488056
5.49;7.78;8.14;8.36;18000000;371.62;207890000;29.00575857
5.45;7.77;8.13;8.34;18379999;368.57;193110000;30.98955422
5.4;7.77;8.12;8.33;17240000;372.19;154460000;30.73951476
5.4;7.77;8.08;8.28;16639999;372.39;174210000;30.20795403
5.45;7.78;8.1;8.3;17100000;372.28;109510000;30.15278822
5.5;7.74;8.06;8.26;16070000;375.35;176620000;28.59491142
5.46;7.72;8.06;8.28;16160000;376.19;159310000;27.97772402
5.4;7.71;8.1;8.31;16110001;374.96;173080000;27.19212716
5.4;7.68;8.1;8.31;15230000;377.49;124640000;26.28610029
5.4;7.66;8.07;8.28;15670000;381.94;162350000;25.76697911
5.45;7.66;8.07;8.29;15900000;382.79;188450000;24.39598736
5.45;7.63;8.02;8.22;16020000;386.96;234440000;23.58889808
5.53;7.69;8.06;8.26;15930000;389.83;232040000;24.06582356
5.6;7.8;8.14;8.34;16870001;388.06;173990000;23.95650157
5.57;7.8;8.14;8.34;16170000;387.74;180450000;23.64017125
5.59;7.84;8.19;8.39;16400000;385.09;186560000;23.40320445
5.56;7.89;8.23;8.42;16930000;383.63;168260000;23.85991711
5.56;7.96;8.29;8.48;16980000;379.43;169570000;25.55723058
5.58;7.95;8.29;8.48;17469999;378.57;127720000;23.9845207
5.57;7.96;8.29;8.48;17320000;381.05;161610000;23.27069938
5.56;8.02;8.36;8.55;17719999;376.65;166140000;24.65657772
5.58;8;8.34;8.53;16990000;377.63;145650000;25.14466541
